city,temperature,humidity,pressure,wind,precipitation,date
Tunis,23.99,57,1017,3.6,0,2025-10-17 15:16:44
Ariana,24.0,57,1017,3.6,0,2025-10-17 15:16:45
Ben Arous,23.6,41,1017,1.55,0,2025-10-17 15:16:45
Manouba,24.9,36,1016,1.11,0,2025-10-17 15:16:45
Nabeul,23.05,56,1017,3.81,0,2025-10-17 15:16:45
Zaghouan,23.1,39,1017,1.02,0,2025-10-17 15:16:45
Bizerte,23.99,57,1017,4.12,0,2025-10-17 15:16:45
Beja,24.52,38,1016,0.27,0,2025-10-17 15:16:45
Jendouba,25.13,46,1016,2.06,0,2025-10-17 15:16:45
Kef,21.59,45,1016,1.74,0,2025-10-17 15:16:45
Siliana,20.8,45,1017,2.41,0,2025-10-17 15:16:45
Kasserine,21.62,50,1017,4.36,0,2025-10-17 15:16:45
Sidi Bouzid,23.77,45,1017,3.64,0,2025-10-17 15:16:45
Kairouan,27.01,34,1016,1.03,0,2025-10-17 15:16:45
Kébili,28.74,38,1013,6.99,0,2025-10-17 15:16:45
Tozeur,27.25,41,1014,8.23,0,2025-10-17 15:16:45
Gabès,23.99,64,1016,7.72,0,2025-10-17 15:16:45
Medenine,24.67,61,1016,7.38,0,2025-10-17 15:16:45
Tataouine,31.58,14,1012,1.53,0,2025-10-17 15:16:45
Mahdia,22.6,59,1017,4.38,0,2025-10-17 15:16:45
Monastir,23.91,53,1017,2.06,0,2025-10-17 15:16:46
Sousse,23.97,53,1017,2.06,0,2025-10-17 15:16:46
Sfax,23.12,61,1017,4.91,0,2025-10-17 15:16:46
Gafsa,25.13,44,1016,6.17,0,2025-10-17 15:16:46
