city,temperature,humidity,pressure,wind,precipitation,date
Tunis,22.99,73,1016,1.03,0,2025-09-03 22:14:04
Ariana,23.0,73,1016,1.03,0,2025-09-03 22:14:04
Ben Arous,22.6,65,1017,1.01,0,2025-09-03 22:14:04
Manouba,23.45,64,1017,0.99,0,2025-09-03 22:14:04
Nabeul,23.5,69,1016,2.02,0,2025-09-03 22:14:04
Zaghouan,22.76,62,1017,0.21,0,2025-09-03 22:14:04
Bizerte,23.7,67,1016,1.61,0,2025-09-03 22:14:04
Beja,23.66,60,1017,1.99,0,2025-09-03 22:14:04
Jendouba,22.91,54,1017,1.07,0,2025-09-03 22:14:04
Kef,23.69,52,1017,2.3,0,2025-09-03 22:14:04
Siliana,21.87,54,1017,4.26,0,2025-09-03 22:14:05
Kasserine,24.1,56,1018,3.5,0,2025-09-03 22:14:05
Sidi Bouzid,24.01,61,1017,4.58,0,2025-09-03 22:14:05
Kairouan,26.06,51,1017,3.18,0,2025-09-03 22:14:05
Kébili,26.56,59,1015,6.28,0,2025-09-03 22:14:05
Tozeur,26.72,55,1015,7.23,0,2025-09-03 22:14:05
Gabès,25.51,71,1016,4.84,0,2025-09-03 22:14:05
Medenine,25.71,69,1016,3.66,0,2025-09-03 22:14:05
Tataouine,25.67,60,1014,8.32,0,2025-09-03 22:14:05
Mahdia,25.07,62,1016,3.46,0,2025-09-03 22:14:05
Monastir,25.91,65,1016,4.12,0,2025-09-03 22:14:05
Sousse,25.97,65,1017,4.12,0,2025-09-03 22:14:05
Sfax,26.49,61,1016,4.15,0,2025-09-03 22:14:05
Gafsa,24.04,62,1016,2.24,0,2025-09-03 22:14:05
